description,id,keywords,name,slug,thumbnail_url,cook_time,prep_time,total_time,ratings_negative,ratings_positive,score,protein,fat,calories,sugar,carbohydrates,fiber,owner_id,difficulty,servings,category
"You don’t need a barbecue to make flavorful baby back ribs — in fact, all you really need is one sheet tray. After slowly roasting the ribs on it, load it up with corn and asparagus in the final ten minutes of cooking and dinner is done. The ribs will be falling off the bone, and the veggies will be perfectly tender yet crisp. The best part? You’ll only have to wash one dish.",1,,One-Pan Baby Back Ribs,one-pan-baby-back-ribs,https://img.buzzfeed.com/video-api-prod/assets/c29816f9aa804990840bc86f972f39c8/BFV9034_OnePanBabyBackRibs-ThumbB1080.jpg,130,0,130,30,1141,98,24,44,719,29,57,5,mymealuser,2,6,
"If you’re stuck in a dessert rut, poke cake is just the recipe you need to try. It’s low-maintenance to bake, and it’s always a crowd pleaser. Poke holes using the back of a wooden spoon into a simple vanilla cake base, then cover the cake with a mixture of strawberries, cream cheese, and condensed milk. Once the cake is done chilling, it’ll be filled with pockets of sweet berry deliciousness.",35,,Strawberry Cheesecake Poke Cake,strawberry-cheesecake-poke-cake,https://img.buzzfeed.com/video-api-prod/assets/c6cee024a62e4a0a9bced5c321e45117/BFV9539_StrawberryCheesecakePokeCake-ThumbC1080.jpg,30,0,30,57,747,93,7,20,429,44,56,1,mymealuser,3,2,
"This easy 30-minute pasta recipe transforms ingredients that you already have in your kitchen into a posh, seafood dish you’ll want to serve at your next dinner party. And since the whole dish is made in a single pot, clean-up is easy. Don’t be surprised if this becomes your favorite quick go-to.",47,,One-Pot Lemon Garlic Shrimp Pasta,one-pot-lemon-garlic-shrimp-pasta,https://img.buzzfeed.com/video-api-prod/assets/9ee2dadcbfcb4095872e6cdbaa24ff14/Thumb_A_FB.jpg,15,15,30,216,10719,99,36,34,648,2,48,4,mymealuser,3,5,
This content is intended solely for users of legal drinking age. Drink responsibly.,129,"tasty, tasty_contains_alcohol, tasty_vegetarian",Peppermint Mocha Cannoli,peppermint-mocha-cannoli,https://img.buzzfeed.com/video-api-prod/assets/13359f86be464aceb43b00477a427cc9/BFV4780_PeppermintMochaCannoli-Thumb1080SQ.jpg,25,35,57,7,51,88,21,28,701,20,85,2,mymealuser,2,5,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,165,"tasty, tasty_contains_alcohol",Mojito-Marinated Chicken,mojito-marinated-chicken,https://img.buzzfeed.com/video-api-prod/assets/146af612081a4410b70f7e5586c68977/BFV7137_Mojito-Marinated_Chicken_THUMB_A.jpg,46,55,48,12,80,87,35,7,275,0,5,1,mymealuser,3,4,
"Have you ever gone out for Mexican food, eaten carnitas, and thought “gosh, I wish I could make this myself”? Well, you can with the help of your slow cooker. Just add pork butt or shoulder to a slow cooker with citrus juice, garlic, onion, and some spices, then let it cook for about eight hours until it's tender and easy to shred with a fork. Then, you can enjoy your home-cooked carnitas in tacos, burritos, or on top of your favourite grains.",174,"burritos, carnitas, chipotle, food, pork, recipe, slow cooker, tacos",Slow Cooker Carnitas,slow-cooker-carnitas,https://img.buzzfeed.com/video-api-prod/assets/ca9fc04b438c46769df94f954eb3813c/BFV11666_Carnitas-ThumbTextless1080.jpg,490,0,490,25,1174,98,72,48,810,5,23,7,mymealuser,3,2,
This content is intended solely for users of legal drinking age. Drink responsibly.,194,"tasty, tasty_contains_alcohol, tasty_vegetarian",Fruit & Wine Sorbet,fruit-wine-sorbet,https://img.buzzfeed.com/video-api-prod/assets/8180cc518bd14e45adf0b4d9436519dc/BFV7054_FruitWineSorbet_ThumbAA.jpg,44,44,40,16,85,85,0,0,123,24,29,1,mymealuser,3,5,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,225,"tasty, tasty_contains_alcohol",Boozy Cheese On Toast (Welsh Rarebit),boozy-cheese-on-toast-welsh-rarebit,https://img.buzzfeed.com/video-api-prod/assets/4aaf5fa6c6d843abae99ac0187e004d5/BFV6960_Welsh_Rarebit___Boozy_Cheese_On_Toast-thumb.jpg,53,47,19,2,31,94,19,34,424,1,8,0,mymealuser,2,6,
"It’s been years since you got that slow cooker as a gift and well, outside of a hearty chili, you don’t quite know what to do with it. Well get ready, because it’s time to pull it back out and put together a barbecuing favorite: ribs. That’s right. All you have to do is prep, and let the cooker do the work. With these baby back ribs, you won’t even miss going to Chili’s anymore. ",248,,Slow Cooker Ribs,slow-cooker-ribs,https://img.buzzfeed.com/video-api-prod/assets/81733b053eaf4e6c851a676b20798932/BFV6085_Slow-Cooker-Ribs_Thumb.jpg,24,57,58,71,1810,97,52,78,1224,55,68,2,mymealuser,1,3,
"There are many benefits to making your favorite Chinese takeout meal at home — and that includes chicken lo mein! For one, you can add more fresh vegetables to your chicken lo mein, or use soy sauce with less sodium for a lighter version. To make it, all you have to do is stir-fry your chicken and veggies, add cooked egg noodles, and toss it all together with a simple sauce. Top with scallions, box up the leftovers, and you’ll have cheap, yummy eats for days.",253,,Chicken Lo Mein,chicken-lo-mein,https://img.buzzfeed.com/video-api-prod/assets/2b74b6ec6d4b4476a415c0f5136d0e0e/BFV5826_Chicken_Lo_Mein_Thumb.jpg,10,15,25,99,1712,95,11,56,964,85,108,4,mymealuser,2,3,
